"icao","iata","name","city","subd","country","elevation","lat","lon","tz","lid"
"07FA","OCA","Ocean Reef Club Airport","Key Largo","Florida","US","6","25.32432","-80.27573","America/New_York","07FA"
"0AA1","CYT","Yakataga Airport","Yakataga","Alaska","US","16","60.08085","-142.49548","America/Anchorage","0AA1"
"0AA4","FWL","Farewell Airport","Farewell","Alaska","US","1535","62.50918","-153.89062","America/Anchorage","0AA4"
"0CO2","CSE","Crested Butte Airpark","Crested Butte","Colorado","US","8980","38.85194","-106.93282","America/Denver","0CO2"
"0NM0","CUS","Columbus Municipal Airport","Columbus","New Mexico","US","4024","31.82371","-107.62697","America/Denver","0NM0"
"0TE7","JCY","Lbj Ranch Airport","Johnson City","Texas","US","1515","30.25181","-98.62253","America/Chicago","0TE7"
"HAAM","AMH","Arba Minch Airport","","SNNPR","ET","3901","6.03939","37.5905","Africa/Addis_Ababa",""
"19AK","ICY","Icy Bay Airport","Icy Bay","Alaska","US","50","59.96902","-141.66177","America/Anchorage","19AK"
"HAAX","AXU","Axum Airport","","Tigray","ET","6959","14.1468","38.7728","Africa/Addis_Ababa",""
"2AK6","HGZ","Hog River Airport","Hogatza","Alaska","US","534","66.17613","-155.68481","America/Anchorage","2AK6"
"HABC","BCO","Baco Airport","Baco","","ET","0","5.78287","36.562","Africa/Addis_Ababa",""
"2LA8","GWV","Fokker Field","Bush","Louisiana","US","50","30.59317","-89.87348","America/Chicago","2LA8"
"2TE0","BZT","Eagle Air Park","Brazoria","Texas","US","15","28.98219","-95.57967","America/Chicago","2TE0"
"38WA","BYW","Blakely Island Airport","Blakely Island","Washington","US","66","48.57899","-122.82629","America/Los_Angeles","38WA"
"3AK5","DRF","Drift River Airport","Kenai","Alaska","US","30","60.58887","-152.16199","America/Anchorage","3AK5"
"3IS8","BDF","Rinkenberger Airport","Bradford","Illinois","US","808","41.23087","-89.61565","America/Chicago","3IS8"
"3NY8","CTO","Calverton Executive Airpark","Calverton","New York","US","75.2","40.9","-72.8","America/New_York","3NY8"
"5MS1","RFK","Rollang Field","Rolling Fork","Mississippi","US","106","32.95429","-90.84593","America/Chicago","5MS1"
"65LA","BCS","Southern Seaplane Airport","Belle Chasse","Louisiana","US","0","29.86604","-90.02229","America/Chicago","65LA"
"78WA","CWS","Center Island Airport","Center Island","Washington","US","115","48.4901","-122.83212","America/Los_Angeles","78WA"
"7NC2","DUF","Pine Island Airport","Corolla","North Carolina","US","16","36.2535","-75.78852","America/New_York","7NC2"
"7WA5","SSW","Stuart Island Airpark","Stuart Island","Washington","US","10","48.67288","-123.17575","America/Los_Angeles","7WA5"
"82CL","FOB","Fort Bragg Airport","Fort Bragg","California","US","71","39.47433","-123.79557","America/Los_Angeles","82CL"
"84NE","MHN","Hooker County Airport","Mullen","Nebraska","US","3240","42.04216","-101.05966","America/Chicago","84NE"
"89NY","AXB","Maxson Airfield","Alexandria Bay","New York","US","340","44.31672","-75.89967","America/New_York","89NY"
"8XS8","REE","Reese Airpark","Lubbock","Texas","US","3338","33.59476","-102.04342","America/Chicago","8XS8"
"AGAF","AFT","Afutara Aerodrome","Bila","Malaita","SB","23","-9.19139","160.94861","Pacific/Guadalcanal",""
"AGAR","RNA","Ulawa Airport","Arona","","SB","40","-9.86054","161.97955","Pacific/Guadalcanal",""
"AGAT","ATD","Uru Harbour Airport","Atoifi","","SB","0","-8.87333","161.011","Pacific/Guadalcanal",""
"AGBA","VEV","Barakoma Airport","Barakoma","","SB","0","-7.91278","156.706","Pacific/Guadalcanal",""
"AGBT","BPF","Batuna Aerodrome","Batuna Mission Station","Western Province","SB","24","-8.56203","158.11931","Pacific/Guadalcanal",""
"AGEV","GEF","Geva Airport","Liangia","","SB","0","-7.57583","156.597","Pacific/Guadalcanal",""
"AGGA","AKS","Auki Airport","Auki","","SB","5","-8.70257","160.682","Pacific/Guadalcanal",""
"AGGB","BNY","Bellona/Anua Airport","Anua","","SB","60","-11.30222","159.79832","Pacific/Guadalcanal",""
"AGGC","CHY","Choiseul Bay Airport","","Choiseul","SB","0","-6.71194","156.3961","Pacific/Guadalcanal",""
"AGGE","BAS","Ballalae Airport","Ballalae","","SB","5","-6.99075","155.88666","Pacific/Guadalcanal",""
"AGGF","FRE","Fera/Maringe Airport","Fera Island","Isabel","SB","0","-8.1075","159.577","Pacific/Guadalcanal",""
"AGGH","HIR","Honiara International Airport","Honiara","Guadalcanal","SB","28","-9.428","160.055","Pacific/Guadalcanal",""
"AGGI","MBU","Babanakira Airport","Mbambanakira","Guadalcanal","SB","0","-9.7475","159.839","Pacific/Guadalcanal",""
"AGGJ","AVU","Avu Avu Airport","","Guadalcanal","SB","25","-9.86833","160.41055","Pacific/Guadalcanal",""
"AGGK","IRA","Ngorangora Airport","Kirakira","","SB","0","-10.4497","161.898","Pacific/Guadalcanal",""
"AGGL","SCZ","Santa Cruz/Graciosa Bay/Luova Airport","Santa Cruz/Graciosa Bay/Luova","Temotu","SB","18","-10.7203","165.795","Pacific/Guadalcanal",""
"AGGM","MUA","Munda Airport","","","SB","10","-8.32797","157.263","Pacific/Guadalcanal",""
"AGGN","GZO","Nusatupe Airport","Gizo","","SB","13","-8.09778","156.864","Pacific/Guadalcanal",""
"AGGO","MNY","Mono Airport","Stirling Island","","SB","0","-7.41694","155.565","Pacific/Guadalcanal",""
"AGGP","PRS","Parasi Airport","Parasi","","SB","0","-9.64167","161.425","Pacific/Guadalcanal",""
"AGGR","RNL","Rennell/Tingoa Airport","Rennell Island","Rennell and Bellona","SB","0","-11.5339","160.063","Pacific/Guadalcanal",""
"AGGS","EGM","Sege Airport","Sege","","SB","0","-8.57889","157.876","Pacific/Guadalcanal",""
"AGGT","NNB","Santa Ana Airport","Santa Ana Island","","SB","3","-10.84799","162.45412","Pacific/Guadalcanal",""
"AGGU","RUS","Marau Airport","Marau","","SB","0","-9.86167","160.825","Pacific/Guadalcanal",""
"AGGV","VAO","Suavanao Airport","Suavanao","","SB","0","-7.58556","158.731","Pacific/Guadalcanal",""
"AGGY","XYA","Yandina Airport","Yandina","","SB","60","-9.09282","159.21841","Pacific/Guadalcanal",""
"AGKG","KGE","Kagau Island Airport","Kagau Island","","SB","0","-7.333","157.583","Pacific/Guadalcanal",""
"AGKW","KWS","Kwailabesi Airport","Kwailabesi","","SB","26","-8.36051","160.77513","Pacific/Guadalcanal",""
"AGOK","GTA","Gatokae Airport","Gatokae","","SB","70","-8.73917","158.20306","Pacific/Guadalcanal",""
"AGRC","RIN","Ringi Cove Airport","Ringi Cove","","SB","0","-8.12639","157.143","Pacific/Guadalcanal",""
"AGRM","RBV","Ramata Airport","Ramata","","SB","0","-8.16806","157.643","Pacific/Guadalcanal",""
"AK13","CEX","Chena Hot Springs Airport","Chena Hot Springs","Alaska","US","1195","65.05183","-146.04742","America/Anchorage","AK13"
"AK26","SOL","Solomon State Field","Solomon","Alaska","US","25","64.56064","-164.44234","America/Nome","AK26"
"AK33","HED","Herendeen Bay Airport","Herendeen Bay","Alaska","US","20","55.80139","-160.89925","America/Anchorage","AK33"
"AK49","TWE","Taylor Airport","Taylor","Alaska","US","440","65.67928","-164.79881","America/Nome","AK49"
"AK71","LNI","Lonely Air Station","Lonely","Alaska","US","17","70.91075","-153.2422","America/Anchorage","AK71"
"AK75","CDL","Candle 2 Airport","Candle","Alaska","US","15","65.90766","-161.92632","America/Anchorage","AK75"
"AK97","BSW","Boswell Bay Airport","Boswell Bay","Alaska","US","230","60.42306","-146.1459","America/Anchorage","AK97"
"ANYN","INU","Nauru International Airport","Yaren District","Yaren","NR","22","-0.54746","166.919","Pacific/Nauru",""
"AYAI","ATP","Aitape Airport","Aitape","Sandaun","PG","10","-3.14361","142.34682","Pacific/Port_Moresby",""
"AYAM","AMU","Amanab Airport","Amanab","Sandaun","PG","1307","-3.586","141.21432","Pacific/Port_Moresby",""
"AYAN","ADC","Andakombe Airport","Andekombe","Gulf","PG","3600","-7.13722","145.74472","Pacific/Port_Moresby",""
"AYAO","AIE","Aiome Airport","Aiome","Madang","PG","350","-5.1457","144.7307","Pacific/Port_Moresby",""
"AYAQ","KPM","Kompiam Airport","","Enga","PG","5100","-5.38167","143.92471","Pacific/Port_Moresby",""
"AYAT","AUJ","Ambunti Airport","Ambunti","East Sepik","PG","50","-4.21567","142.82317","Pacific/Port_Moresby",""
"AYAW","AWB","Awaba Airport","Awaba","Western Province","PG","32","-8.00611","142.74835","Pacific/Port_Moresby",""
"AYAY","AYU","Aiyura Airport","Aiyura Valley","Eastern Highlands","PG","5355","-6.33806","145.90417","Pacific/Port_Moresby",""
"AYBA","VMU","Baimuru Airport","Baimuru","Gulf","PG","27","-7.49686","144.8199","Pacific/Port_Moresby",""
"AYBG","BDZ","Baindoung Airport","","Morobe","PG","4400","-6.34722","146.94221","Pacific/Port_Moresby",""
"AYBK","BUA","Buka Airport","Buka Island","Bougainville","PG","11","-5.42232","154.673","Pacific/Port_Moresby",""
"AYBM","OPU","Balimo Airport","Balimo","Western Province","PG","51","-8.05","142.933","Pacific/Port_Moresby",""
"AYBU","BUL","Bulolo Airport","Bulolo","Morobe","PG","2240","-7.21629","146.64954","Pacific/Port_Moresby",""
"AYCH","CMU","Chimbu Airport","Kundiawa","Chimbu","PG","4974","-6.02429","144.971","Pacific/Port_Moresby",""
"AYDE","DER","Derim Airport","Derim","Morobe","PG","4850","-6.14472","147.10722","Pacific/Port_Moresby",""
"AYDU","DAU","Daru Airport","Daru","Western Province","PG","20","-9.08676","143.208","Pacific/Port_Moresby",""
"AYED","XYR","Edwaki Airport","Yellow River Mission","Sandaun","PG","190","-3.88399","141.79224","Pacific/Port_Moresby",""
"AYFA","FNE","Fane Airport","Fane Mission","Central Province","PG","4500","-8.54928","147.08583","Pacific/Port_Moresby",""
"AYFI","FIN","Finschhafen Airport","Buki","Morobe","PG","60","-6.62175","147.85405","Pacific/Port_Moresby",""
"AYFR","FAQ","Frieda River Airport","Frieda River","East Sepik","PG","217","-4.61047","141.96014","Pacific/Port_Moresby",""
"AYGA","GKA","Goroka Airport","Goronka","Eastern Highlands","PG","5282","-6.08169","145.392","Pacific/Port_Moresby",""
"AYGG","GRL","Garasa Airport","Au","Morobe","PG","2539","-7.98071","147.21346","Pacific/Port_Moresby",""
"AYGI","GAR","Garaina Airport","Garaina","Morobe","PG","2497","-7.87563","147.14127","Pacific/Port_Moresby",""
"AYGN","GUR","Gurney Airport","Gurney","Milne Bay","PG","88","-10.3115","150.334","Pacific/Port_Moresby",""
"AYGP","GAP","Gusap Airport","Gusap","Morobe","PG","1504","-6.0532","145.95905","Pacific/Port_Moresby",""
"AYGR","PNP","Girua Airport","Popondetta","Northern Province","PG","311","-8.80454","148.309","Pacific/Port_Moresby",""
"AYGT","GMI","Gasmata Island Airport","Gasmata Island","West New Britain","PG","23","-6.27111","150.331","Pacific/Port_Moresby",""
"AYGV","GVI","Green River Airport","Green River","Sandaun","PG","281","-3.90224","141.17052","Pacific/Port_Moresby",""
"AYHK","HKN","Kimbe Airport","Hoskins","West New Britain","PG","66","-5.46217","150.405","Pacific/Port_Moresby",""
"AYIQ","KIE","Aropa Airport","Kieta","Bougainville Island","PG","10","-6.305","155.72778","Pacific/Bougainville",""
"AYKA","LSA","Losuia Airport","Losuia","Milne Bay","PG","27","-8.50582","151.081","Pacific/Port_Moresby",""
"AYKB","KBM","Kabwum","","Morobe","PG","4450","-6.15547","147.19147","Pacific/Port_Moresby",""
"AYKC","KDR","Kandrian Airport","Kandrian","West New Britain","PG","280","-6.2659","149.5581","Pacific/Port_Moresby",""
"AYKI","UNG","Kiunga Airport","Kiunga","Western Province","PG","88","-6.12571","141.282","Pacific/Port_Moresby",""
"AYKK","KRI","Kikori Airport","Kikori","Gulf","PG","50","-7.42438","144.25008","Pacific/Port_Moresby",""
"AYKM","KMA","Kerema Airport","Kerema","Gulf","PG","10","-7.96361","145.771","Pacific/Port_Moresby",""
"AYKO","KKD","Kokoda Airport","Kokoda","Northern Province","PG","1240","-8.88468","147.73096","Pacific/Port_Moresby",""
"AYKT","KZF","Kaintiba Airport","Kaintiba","Gulf","PG","2050","-7.50025","146.03383","Pacific/Port_Moresby",""
"AYKU","KUQ","Kuri Airport","Kuri","Gulf","PG","35","-7.13508","143.27611","Pacific/Port_Moresby",""
"AYKV","KVG","Kavieng Airport","Kavieng","New Ireland","PG","7","-2.5794","150.808","Pacific/Port_Moresby",""
"AYKW","KWO","Kawito Airport","Kawito","Western Province","PG","72","-7.97701","142.82358","Pacific/Port_Moresby",""
"AYKY","LNV","Londolovit Airport","Londolovit","New Ireland","PG","167","-3.04361","152.629","Pacific/Port_Moresby",""
"AYLM","LMY","Lake Murray Airport","Lake Murray","Western Province","PG","52","-7.00992","141.494","Pacific/Port_Moresby",""
"AYLO","LWI","Lowai Airstrip","Lowai","Morobe Province","PG","2900","-6.3344","146.6458","Pacific/Port_Moresby",""
"AYLU","LMI","Lumi Airport","Lumi","Sandaun","PG","1750","-3.47684","142.04129","Pacific/Port_Moresby",""
"AYMC","MYX","Menyamya Airport","Menyamya","Morobe","PG","3880","-7.21167","146.01936","Pacific/Port_Moresby",""
"AYMD","MAG","Madang Airport","Madang","Madang","PG","20","-5.20708","145.789","Pacific/Port_Moresby",""
"AYMH","HGU","Mount Hagen Kagamuga Airport","Mount Hagen","Western Highlands","PG","5388","-5.82679","144.296","Pacific/Port_Moresby",""
"AYMI","MXK","Mindik Airport","Mindik","Morobe","PG","4200","-6.47167","147.44115","Pacific/Port_Moresby",""
"AYML","GUV","Mougulu Airport","Mougulu","Western Province","PG","825","-6.28086","142.42078","Pacific/Port_Moresby",""
"AYMN","MDU","Mendi Airport","","Southern Highlands","PG","5680","-6.14774","143.657","Pacific/Port_Moresby",""
"AYMO","MAS","Momote Airport","","Manus","PG","12","-2.06189","147.424","Pacific/Port_Moresby",""
"AYMR","MXH","Moro Airport","Moro","Southern Highlands","PG","2740","-6.36333","143.238","Pacific/Port_Moresby",""
"AYMS","MIS","Misima Island Airport","Misima Island","Milne Bay","PG","26","-10.6892","152.838","Pacific/Port_Moresby",""
"AYNE","GBF","Negarbo(Negabo) Airport","Negarbo","Chimbu","PG","4500","-6.56778","144.70306","Pacific/Port_Moresby",""
"AYNG","MFO","Manguna Airport","Manguna","East New Britain","PG","187","-5.57778","151.79233","Pacific/Port_Moresby",""
"AYNU","UKU","Nuku Airport","Nuku","Sandaun","PG","870","-3.67665","142.48433","Pacific/Port_Moresby",""
"AYNZ","LAE","Lae Nadzab Airport","Nadzab","Morobe","PG","239","-6.56983","146.726","Pacific/Port_Moresby",""
"AYOG","OGE","Ogeranang Airport","","Morobe","PG","5850","-6.46675","147.36417","Pacific/Port_Moresby",""
"AYOM","OSE","Omora Airport","Omora","Morobe","PG","2540","-7.82778","147.08064","Pacific/Port_Moresby",""
"AYPD","PDI","Pindiu Airport","Pindiu","Morobe","PG","2995","-6.44514","147.51582","Pacific/Port_Moresby",""
"AYPY","POM","Port Moresby Jacksons International Airport","Port Moresby","National Capital","PG","146","-9.44338","147.22","Pacific/Port_Moresby",""
"AYQA","KRJ","Karawari Airstrip","","East Sepik","PG","70","-4.59667","143.5225","Pacific/Port_Moresby",""
"AYRG","RMN","Rumginae Airport","","Western Province","PG","160","-5.89722","141.27167","Pacific/Port_Moresby",""
"AYRI","KMR","Karimui Airport","Karimui","Chimbu","PG","3640","-6.4921","144.823","Pacific/Port_Moresby",""
"AYSA","SBE","Suabi Airport","","Western Province","PG","465","-6.10444","142.27834","Pacific/Port_Moresby",""
"AYSE","NIS","Simberi Airport","Simberi Island","New Ireland","PG","10","-2.66222","151.99779","Pacific/Port_Moresby",""
"AYSG","SIL","Sila Airport","Sila Mission","Northern Province","PG","2230","-9.07356","148.38925","Pacific/Port_Moresby",""
"AYSJ","SIM","Simbai Airport","Simbai","Western Highlands","PG","5804","-5.27861","144.54472","Pacific/Port_Moresby",""
"AYSU","SKC","Suki Airport","Suki","Western Province","PG","24","-8.0466","141.7222","Pacific/Port_Moresby",""
"AYTA","TIZ","Tari Airport","Tari","Southern Highlands","PG","5500","-5.845","142.948","Pacific/Port_Moresby",""
"AYTB","TBG","Tabubil Airport","Tabubil","Western Province","PG","1570","-5.27861","141.226","Pacific/Port_Moresby",""
"AYTE","TFM","Telefomin Airport","Telefomin","Western Province","PG","4950","-5.12608","141.64192","Pacific/Port_Moresby",""
"AYTI","TPI","Tapini Airport","Tapini","Central Province","PG","3100","-8.35667","146.98917","Pacific/Port_Moresby",""
"AYTJ","TAJ","Tadji Airport","Aitape","Sandaun","PG","33","-3.19819","142.43095","Pacific/Port_Moresby",""
"AYTK","RAB","Tokua Airport","Tokua","East New Britain","PG","32","-4.34046","152.38","Pacific/Port_Moresby",""
"AYTN","TKW","Tekin Airport","Tekin","Sandaun","PG","5785","-5.24367","142.16519","Pacific/Port_Moresby",""
"AYTU","TFI","Tufi Airport","Tufi","Northern Province","PG","85","-9.07595","149.31984","Pacific/Port_Moresby",""
"AYVN","VAI","Vanimo Airport","","Sandaun","PG","10","-2.69717","141.302","Pacific/Port_Moresby",""
"AYWB","WAO","Wabo Airport","Wabo","Gulf","PG","132","-6.98944","145.0751","Pacific/Port_Moresby",""
"AYWD","WBM","Wapenamanda Airport","","Enga","PG","5889","-5.6433","143.895","Pacific/Port_Moresby",""
"AYWG","AGL","Wanigela Airport","","Northern Province","PG","53","-9.3375","149.15556","Pacific/Port_Moresby",""
"AYWK","WWK","Wewak International Airport","Wewak","East Sepik","PG","19","-3.58383","143.669","Pacific/Port_Moresby",""
"AYWO","WOA","Wonenara Airport","Wonenara","Eastern Highlands","PG","5028","-6.79686","145.89194","Pacific/Port_Moresby",""
"AYWS","WSU","Wasu Airport","Wasu","Morobe","PG","34","-5.96171","147.19823","Pacific/Port_Moresby",""
"AYWT","WTP","Woitape Airport","Fatima Mission","Central Province","PG","5200","-8.54583","147.2525","Pacific/Port_Moresby",""
"AYWU","WUG","Wau Airport","Wau","Morobe","PG","3600","-7.34556","146.71861","Pacific/Port_Moresby",""
"BGAA","JEG","Aasiaat Airport","Aasiaat","Qaasuitsup","GL","74","68.7218","-52.7847","America/Nuuk",""
"BGBW","UAK","Narsarsuaq Airport","Narsarsuaq","Kujalleq","GL","112","61.1605","-45.426","America/Nuuk",""
"BGCO","CNP","Neerlerit Inaat Airport","Neerlerit Inaat","Sermersooq","GL","45","70.7431","-22.6505","America/Scoresbysund",""
"BGGH","GOH","Godthaab / Nuuk Airport","Nuuk","","GL","283","64.1909","-51.6781","America/Nuuk",""
"BGJN","JAV","Ilulissat Airport","Ilulissat","","GL","95","69.2432","-51.0571","America/Nuuk",""
"BGKK","KUS","Kulusuk Airport","Kulusuk","Sermersooq","GL","117","65.5736","-37.1236","America/Nuuk",""
"BGMQ","JSU","Maniitsoq Airport","Maniitsoq","","GL","91","65.4125","-52.9394","America/Nuuk",""
"BGPT","JFR","Paamiut Airport","Paamiut","","GL","120","62.01474","-49.67094","America/Nuuk",""
"BGQQ","NAQ","Qaanaaq Airport","Qaanaaq","","GL","51","77.4886","-69.3887","America/Thule",""
"BGSF","SFJ","Kangerlussuaq Airport","Kangerlussuaq","Qeqqata","GL","165","67.01222","-50.7116","America/Nuuk",""
"BGSS","JHS","Sisimiut Airport","Sisimiut","","GL","33","66.9513","-53.7293","America/Nuuk",""
"BGTL","THU","Thule Air Base","Thule","Qaasuitsup","GL","251","76.5312","-68.7032","America/Thule",""
"BGUK","JUV","Upernavik Airport","Upernavik","","GL","414","72.7902","-56.1306","America/Nuuk",""
"BGUQ","JQA","Qaarsut Airport","Uummannaq","","GL","289","70.7342","-52.6962","America/Nuuk",""
"BIAR","AEY","Akureyri Airport","Akureyri","Northeast","IS","6","65.66","-18.0727","Atlantic/Reykjavik",""
"BIBD","BIU","Bildudalur Airport","Bildudalur","Westfjords","IS","18","65.6413","-23.5462","Atlantic/Reykjavik",""
"BIBF","BGJ","Borgarfjordur eystri Airport","Borgarfjordur eystri","East","IS","80","65.5164","-13.805","Atlantic/Reykjavik",""
"BIBK","BJD","Bakkafjordur Airport","Bakkafjordur","Northeast","IS","14","66.0219","-14.8244","Atlantic/Reykjavik",""
"BIBL","BLO","Hjaltabakki Airport","Blonduos","Northwest","IS","131","65.645","-20.2875","Atlantic/Reykjavik",""
"BIBV","BXV","Breiddalsvik Airport","Breiddalsvik","East","IS","8","64.79","-14.0228","Atlantic/Reykjavik",""
"BIDV","DJU","Djupivogur Airport","Djupivogur","East","IS","9","64.6442","-14.2828","Atlantic/Reykjavik",""
"BIEG","EGS","Egilsstadir Airport","Egilsstadir","East","IS","76","65.2833","-14.4014","Atlantic/Reykjavik",""
"BIFF","FAS","Faskrudsfjordur Airport","Faskrudsfjordur","East","IS","15","64.9317","-14.0606","Atlantic/Reykjavik",""
"BIFM","FAG","Fagurholsmyri Airport","Fagurholsmyri","East","IS","56","63.8747","-16.6411","Atlantic/Reykjavik",""
"BIGF","GUU","Grundarfjordur Airport","Grundarfjordur","West","IS","17","64.9914","-23.2247","Atlantic/Reykjavik",""
"BIGJ","GJR","Gjogur Airport","Gjogur","Westfjords","IS","83","65.9953","-21.3269","Atlantic/Reykjavik",""
"BIGR","GRY","Grimsey Airport","Grimsey","Northeast","IS","66","66.5458","-18.0173","Atlantic/Reykjavik",""
"BIHK","HVK","Holmavik Airport","Holmavik","Westfjords","IS","90","65.7047","-21.6964","Atlantic/Reykjavik",""
"BIHN","HFN","Hornafjordur Airport","Hornafjordur","East","IS","24","64.2956","-15.2272","Atlantic/Reykjavik",""
"BIHT","FLI","Holt Airport","Flateyri","Westfjords","IS","10","66.01418","-23.44169","Atlantic/Reykjavik",""
"BIHU","HZK","Husavik Airport","Husavik","Northeast","IS","48","65.9523","-17.426","Atlantic/Reykjavik",""
"BIIS","IFJ","Isafjordur Airport","Isafjordur","Westfjords","IS","8","66.0581","-23.1353","Atlantic/Reykjavik",""
"BIKF","KEF","Keflavik International Airport","Reykjavik","Southern Peninsula","IS","171","63.985","-22.6056","Atlantic/Reykjavik",""
"BIKP","OPA","Kopasker Airport","Kopasker","Northeast","IS","20","66.3108","-16.4667","Atlantic/Reykjavik",""
"BIKR","SAK","Saudarkrokur Airport","Saudarkrokur","Northwest","IS","8","65.7317","-19.5728","Atlantic/Reykjavik",""
"BINF","NOR","Nordfjordur Airport","Nordfjordur","East","IS","13","65.1319","-13.7464","Atlantic/Reykjavik",""
"BIOF","OFJ","Olafsfjordur Airport","Olafsfjordur","Northeast","IS","32","66.0833","-18.6667","Atlantic/Reykjavik",""
"BIPA","PFJ","Patreksfjordur Airport","Patreksfjordur","Westfjords","IS","11","65.5558","-23.965","Atlantic/Reykjavik",""
"BIRE","RHA","Reykholar Airport","Reykholar","Westfjords","IS","60","65.45263","-22.20612","Atlantic/Reykjavik",""
"BIRF","OLI","Rif Airport","Rif","West","IS","18","64.9114","-23.8231","Atlantic/Reykjavik",""
"BIRG","RFN","Raufarhofn Airport","Raufarhofn","Northeast","IS","39","66.4064","-15.9183","Atlantic/Reykjavik",""
"BIRK","RKV","Reykjavik Airport","Reykjavik","Capital Region","IS","48","64.13","-21.9406","Atlantic/Reykjavik",""
"BIRL","MVA","Reykjahlid Airport","Myvatn","Northeast","IS","1030","65.6558","-16.9181","Atlantic/Reykjavik",""
"BISI","SIJ","Siglufjordur Airport","Siglufjordur","Northeast","IS","10","66.1333","-18.9167","Atlantic/Reykjavik",""
"BIST","SYK","Stykkisholmur Airport","Stykkisholmur","West","IS","42","65.0581","-22.7942","Atlantic/Reykjavik",""
"BITE","TEY","Tingeyri Airport","Tingeyri","Westfjords","IS","65","65.8703","-23.56","Atlantic/Reykjavik",""
"BITN","THO","Thorshofn Airport","Thorshofn","Northeast","IS","65","66.2185","-15.3356","Atlantic/Reykjavik",""
"BIVM","VEY","Vestmannaeyjar Airport","Vestmannaeyjar","South","IS","326","63.4243","-20.2789","Atlantic/Reykjavik",""
"BIVO","VPN","Vopnafjordur Airport","Vopnafjordur","East","IS","16","65.7206","-14.8506","Atlantic/Reykjavik",""
"BKPR","PRN","Pristina International Airport","Lipjan","Pristina","XK","1789","42.57283","21.03583","Europe/Belgrade",""
"CA35","SRF","San Rafael Airport","San Rafael","California","US","5","38.01687","-122.52081","America/Los_Angeles","CA35"
"CA92","PYS","Paradise Skypark Airport","Paradise","California","US","1300","39.71056","-121.6165","America/Los_Angeles","CA92"
"CAD4","YZZ","Trail Airport","Trail","British Columbia","CA","1427","49.0556","-117.609","America/Vancouver",""
"CAD5","YMB","Merritt Airport","Merritt","British Columbia","CA","2080","50.1228","-120.747","America/Vancouver",""
"CAH3","YCA","Courtenay Airpark","Courtenay","British Columbia","CA","9","49.6794","-124.982","America/Vancouver",""
"CAJ3","CFQ","Art Sutcliffe Field","Creston","British Columbia","CA","2070","49.0369","-116.498","America/Creston",""
"CAJ4","YAA","Anahim Lake Airport","Anahim Lake","British Columbia","CA","3635","52.4525","-125.303","America/Vancouver",""
"CAL3","DGF","Douglas Lake Airport","Douglas Lake","British Columbia","CA","2770","50.16546","-120.17127","America/Vancouver",""
"CAL4","JHL","Fort MacKay/Albian Aerodrome","Albian Village","Alberta","CA","1048","57.2239","-111.419","America/Edmonton",""
"CAM3","DUQ","Duncan Airport","Duncan","British Columbia","CA","300","48.75453","-123.7097","America/Vancouver",""
"CAP3","YHS","Sechelt-Gibsons Airport","Sechelt-Gibsons","British Columbia","CA","250","49.4606","-123.719","America/Vancouver",""
"CAS2","YAD","Moose Lake (Lodge) Airport","Moose Lake","British Columbia","CA","3500","53.0733","-125.409","America/Vancouver",""
"CAT4","XQU","Qualicum Beach Airport","Qualicum Beach","British Columbia","CA","191","49.3372","-124.394","America/Vancouver",""
"CBBC","ZEL","Bella Bella (Campbell Island) Airport","Bella Bella","British Columbia","CA","141","52.185","-128.157","America/Vancouver",""
"CBM5","YTX","Telegraph Creek Airport","Telegraph Creek","British Columbia","CA","1100","57.9167","-131.117","America/Vancouver",""
"CBS8","YPB","Port Alberni Airport","Port Alberni","British Columbia","CA","250","49.3219","-124.931","America/Vancouver",""
"CBW4","YBO","Bob Quinn Lake Airport","Bob Quinn Lake","British Columbia","CA","2000","56.9667","-130.25","America/Vancouver",""
"CCA6","YWM","Williams Harbour Airport","Williams Harbour","Newfoundland and Labrador","CA","70","52.5669","-55.7847","America/St_Johns",""
"CCD4","YSO","Postville Airport","Postville","Newfoundland and Labrador","CA","193","54.9106","-59.7867","America/Halifax",""
"CCE4","YBI","Black Tickle Airport","Black Tickle","Newfoundland and Labrador","CA","57","53.4694","-55.785","America/Halifax",""
"CCH4","YHG","Charlottetown Airport","Charlottetown","Newfoundland and Labrador","CA","209","52.765","-56.1156","America/St_Johns",""
"CCK4","YFX","St. Lewis (Fox Harbour) Airport","St. Lewis","Newfoundland and Labrador","CA","74","52.3728","-55.6739","America/St_Johns",""
"CCP4","YHA","Port Hope Simpson Airport","Port Hope Simpson","Newfoundland and Labrador","CA","347","52.5281","-56.2861","America/St_Johns",""
"CCZ2","YRG","Rigolet Airport","Rigolet","Newfoundland and Labrador","CA","180","54.1797","-58.4575","America/Halifax",""
"CDK2","DVK","Diavik Airport","Diavik","Northwest Territories","CA","1413","64.5114","-110.289","America/Yellowknife",""
"CEB3","YCK","Colville Lake Airport","Colville Lake","Northwest Territories","CA","850","67.0333","-126.083","America/Yellowknife",""
"CEB5","ZFW","Fairview Airport","Fairview","Alberta","CA","2166","56.0814","-118.435","America/Edmonton",""
"CEC4","YJP","Hinton / Jasper-Hinton Airport","Hinton","Alberta","CA","4006","53.3192","-117.753","America/Edmonton",""
"CEM3","YLE","Whati Airport","Whati","Northwest Territories","CA","882","63.1317","-117.246","America/Edmonton",""
